unique_id,url,city,state,zip,street,beds,baths,sq_ft,lot_size,house_type,year_built,trulia_estimate
IrvineCA9260337 Silver Cres5329738280Single-Family Home19771902327,https://www.trulia.com/p/ca/irvine/37-silver-cres-irvine-ca-92603--2080997343,Irvine,CA,92603,37 Silver Cres,5,3.0,2973,8280,Single-Family Home,1977,1902327
IrvineCA9260338 Silver Cres4221756420Single-Family Home19771480296,https://www.trulia.com/p/ca/irvine/38-silver-cres-irvine-ca-92603--2080997387,Irvine,CA,92603,38 Silver Cres,4,2.0,2175,6420,Single-Family Home,1977,1480296
IrvineCA9260339 Silver Cres5227468280Single-Family Home19771790876,https://www.trulia.com/p/ca/irvine/39-silver-cres-irvine-ca-92603--2080997435,Irvine,CA,92603,39 Silver Cres,5,2.0,2746,8280,Single-Family Home,1977,1790876
IrvineCA9260340 Silver Cres4427966420Single-Family Home19771702734,https://www.trulia.com/p/ca/irvine/40-silver-cres-irvine-ca-92603--2080997590,Irvine,CA,92603,40 Silver Cres,4,4.0,2796,6420,Single-Family Home,1977,1702734
IrvineCA9260341 Silver Cres5331318280Single-Family Home19771918992,https://www.trulia.com/p/ca/irvine/41-silver-cres-irvine-ca-92603--2080997648,Irvine,CA,92603,41 Silver Cres,5,3.0,3131,8280,Single-Family Home,1977,1918992
IrvineCA9260342 Silver Cres4221756420Single-Family Home19771473002,https://www.trulia.com/p/ca/irvine/42-silver-cres-irvine-ca-92603--2080997679,Irvine,CA,92603,42 Silver Cres,4,2.0,2175,6420,Single-Family Home,1977,1473002
IrvineCA9260343 Silver Cres4327498280Single-Family Home19771542778,https://www.trulia.com/p/ca/irvine/43-silver-cres-irvine-ca-92603--2080997718,Irvine,CA,92603,43 Silver Cres,4,3.0,2749,8280,Single-Family Home,1977,1542778
IrvineCA9260344 Silver Cres3332496420Single-Family Home19771670613,https://www.trulia.com/p/ca/irvine/44-silver-cres-irvine-ca-92603--2080997749,Irvine,CA,92603,44 Silver Cres,3,3.0,3249,6420,Single-Family Home,1977,1670613
IrvineCA9260345 Silver Cres5329738826Single-Family Home19771918886,https://www.trulia.com/p/ca/irvine/45-silver-cres-irvine-ca-92603--2080997785,Irvine,CA,92603,45 Silver Cres,5,3.0,2973,8826,Single-Family Home,1977,1918886
IrvineCA9260346 Silver Cres5331406420Single-Family Home19771762385,https://www.trulia.com/p/ca/irvine/46-silver-cres-irvine-ca-92603--2080997817,Irvine,CA,92603,46 Silver Cres,5,3.0,3140,6420,Single-Family Home,1977,1762385
IrvineCA9260347 Silver Cres43244110800Single-Family Home19771833777,https://www.trulia.com/p/ca/irvine/47-silver-cres-irvine-ca-92603--2080997851,Irvine,CA,92603,47 Silver Cres,4,3.0,2441,10800,Single-Family Home,1977,1833777
IrvineCA9260348 Silver Cres4326756420Single-Family Home19771591598,https://www.trulia.com/p/ca/irvine/48-silver-cres-irvine-ca-92603--2080997891,Irvine,CA,92603,48 Silver Cres,4,3.0,2675,6420,Single-Family Home,1977,1591598
IrvineCA9260350 Silver Cres4221756420Single-Family Home19771466455,https://www.trulia.com/p/ca/irvine/50-silver-cres-irvine-ca-92603--2080998161,Irvine,CA,92603,50 Silver Cres,4,2.0,2175,6420,Single-Family Home,1977,1466455
IrvineCA9260352 Silver Cres5332086420Single-Family Home19771727999,https://www.trulia.com/p/ca/irvine/52-silver-cres-irvine-ca-92603--2080998270,Irvine,CA,92603,52 Silver Cres,5,3.0,3208,6420,Single-Family Home,1977,1727999
IrvineCA9260354 Silver Cres4221756825Single-Family Home19771442736,https://www.trulia.com/p/ca/irvine/54-silver-cres-irvine-ca-92603--2080998412,Irvine,CA,92603,54 Silver Cres,4,2.0,2175,6825,Single-Family Home,1977,1442736
IrvineCA9260356 Silver Cres5327616175Single-Family Home19771593742,https://www.trulia.com/p/ca/irvine/56-silver-cres-irvine-ca-92603--2080998537,Irvine,CA,92603,56 Silver Cres,5,3.0,2761,6175,Single-Family Home,1977,1593742
IrvineCA926034846 Paseo De Vega3217024500Single-Family Home1973991199,https://www.trulia.com/p/ca/irvine/4846-paseo-de-vega-irvine-ca-92603--2080997859,Irvine,CA,92603,4846 Paseo De Vega,3,2.0,1702,4500,Single-Family Home,1973,991199
IrvineCA926034852 Paseo De Vega3215123811Single-Family Home1973928583,https://www.trulia.com/p/ca/irvine/4852-paseo-de-vega-irvine-ca-92603--2080997860,Irvine,CA,92603,4852 Paseo De Vega,3,2.0,1512,3811,Single-Family Home,1973,928583
IrvineCA926034856 Paseo De Vega3215123914Single-Family Home1973927357,https://www.trulia.com/p/ca/irvine/4856-paseo-de-vega-irvine-ca-92603--1030058224,Irvine,CA,92603,4856 Paseo De Vega,3,2.0,1512,3914,Single-Family Home,1973,927357
IrvineCA926034862 Paseo De Vega3214424905Single-Family Home1973926963,https://www.trulia.com/p/ca/irvine/4862-paseo-de-vega-irvine-ca-92603--2080997861,Irvine,CA,92603,4862 Paseo De Vega,3,2.0,1442,4905,Single-Family Home,1973,926963
